blinkit_category_scraping_stream,
Field,Description
date,Scraping date
l1_category,
l1_category_id,
l2_category,
l2_category_id,
store_id,
variant_id,
variant_name,
group_id,
selling_price,
mrp,
in_stock,
inventory,
is_sponsored,
image_url,
brand_id,
brand,
