Field,date,l1_category,l1_category_id,l2_category,l2_category_id,store_id,variant_id,variant_name,group_id,selling_price,mrp,in_stock,inventory,is_sponsored,image_url,brand_id,brand
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,37740,556154,Premium Kaju Katli Box by GO DESI,1882351,230,311,True,2,False,https://cdn.grofers.com/da/cms-assets/cms/product/2ce92e5e-cb5c-4971-8e2a-fe05b73f5f3d.png,,GO DESI
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,30303,615058,Zero Sugar Kaju Katli - Artinci,1734994,199,220,True,3,False,https://cdn.grofers.com/da/cms-assets/cms/product/5b4a46f9-4c5f-4c85-8aa6-d863253e5ac5.png,,Artinci
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,37740,596995,Kaju Katli by Om Sweets,2181792,240,240,True,1,False,https://cdn.grofers.com/da/cms-assets/cms/product/b5b70cda-1840-4b62-b7c6-6229821d654d.png,,Om Sweets
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,37740,612094,Mango Kalakand by Lal,1464220,175,175,True,1,False,https://cdn.grofers.com/da/cms-assets/cms/product/dea73dc8-7c14-4747-97d5-0323e191556f.png,,Lal
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,37740,42150,Panjeeri Laddu by Bikano,661421,174,300,True,1,False,https://cdn.grofers.com/da/cms-assets/cms/product/03541e9d-07ac-42e3-97d4-c279b4e292a0.png,,Bikano
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,37740,374937,Dry Fruit Besan Laddu by Haldiram's,661459,206,350,True,6,False,https://cdn.grofers.com/da/cms-assets/cms/product/3606c435-52a7-4445-ad18-b137accc04da.png,,Haldiram's
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,37740,41404,Dry Fruit Panjeeri Laddu by Haldiram's,661420,206,350,True,3,False,https://cdn.grofers.com/da/cms-assets/cms/product/bb0e6e43-acdb-42a8-bcba-b5b5b17b510d.png,,Haldiram's
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,30303,629891,Dry Fruit Laddu by Equisential,1927143,175,225,True,4,False,https://cdn.grofers.com/da/cms-assets/cms/product/72c6375a-8c0c-446a-bf4a-9b91a83d99c8.png,,Equisential
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,30303,624174,Flax Seeds Laddu by Equisential,1902079,175,225,True,1,False,https://cdn.grofers.com/da/cms-assets/cms/product/c0264f43-01f4-40eb-bea0-c0e655448111.png,,Equisential
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,30303,627553,Postpartum Gond Laddu by Equisential,2137082,175,225,True,1,False,https://cdn.grofers.com/da/cms-assets/cms/product/0c303aeb-9695-4048-b4e4-44919ce7848e.png,,Equisential
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,30303,601991,Zero Sugar Motichoor Laddu by Artinci,1333066,199,249,True,11,False,https://cdn.grofers.com/da/cms-assets/cms/product/7595794a-b02c-46d5-b68c-29d59b9db029.png,,Artinci
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,30303,657212,Zero Sugar Besan Laddu by Artinci,2047455,180,220,True,2,False,https://cdn.grofers.com/da/cms-assets/cms/product/46b56cfa-346b-47d8-98eb-a50263a963c4.png,,Artinci
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,37740,650267,Dry Fruit & Dates Laddu (Assorted) by Eat Better Co,2022734,345,394,True,1,False,https://cdn.grofers.com/da/cms-assets/cms/product/9b5b5267-0734-475a-8ce6-c440821ef3e7.png,,Eat Better Co
